id_venda,data_venda,ano,trimestre,mes,mes_venda,id_cliente,nome_cliente,cidade,estado,regiao,id_produto,produto,categoria,quantidade,preco_unitario,desconto,valor_desconto,receita_total,faixa_receita_item,previsao_entrega,data_entrega,desvio_entrega_dias,atrasado
ORD00001,2025-01-01,2025,Q1,1,Janeiro,Cliente_008,Thales Pereira,Cascavel,PR,Sul,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,1,124.91,0.0327,4.08,120.83,Baixo Valor,2025-01-07,2025-01-09,2,True
ORD00002,2025-01-01,2025,Q1,1,Janeiro,Cliente_011,Julia Ribeiro,Santa Maria,RS,Sul,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,4,129.86,0.0477,24.76,494.68,Baixo Valor,2025-01-04,2025-01-08,4,True
ORD00003,2025-01-01,2025,Q1,1,Janeiro,Cliente_019,Gabriela da Paz,Uberlândia,MG,Sudeste,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,2,1799.01,0.1481,532.86,3065.16,Médio Valor,2025-01-05,2025-01-04,-1,False
ORD00004,2025-01-01,2025,Q1,1,Janeiro,Cliente_019,Gabriela da Paz,Uberlândia,MG,Sudeste,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4,53.9,0.1402,30.24,185.36,Baixo Valor,2025-01-04,2025-01-04,0,False
ORD00005,2025-01-01,2025,Q1,1,Janeiro,Cliente_022,Lívia Gomes,Vitória,ES,Sudeste,P0024,Memória Kingston Fury 16GB DDR5,Informática,2,389.9,0.1126,87.8,692.0,Médio Valor,2025-01-03,2025-01-02,-1,False
ORD00006,2025-01-01,2025,Q1,1,Janeiro,Cliente_050,Enzo Monteiro,Curitiba,PR,Sul,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,3,17.9,0.1159,6.21,47.49,Baixo Valor,2025-01-04,2025-01-03,-1,False
ORD00007,2025-01-01,2025,Q1,1,Janeiro,Cliente_087,Dr. Pietro Silva,Pico,PI,Nordeste,P0017,ACER Notebook Gamer Nitro,Informática,1,4604.0,0.0987,454.41,4149.59,Médio Valor,2025-01-06,2025-01-07,1,True
ORD00008,2025-01-01,2025,Q1,1,Janeiro,Cliente_113,Sra. Camila Peixoto,Marabá,PA,Norte,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,3,1799.01,0.1126,607.71,4789.32,Médio Valor,2025-01-07,2025-01-07,0,False
ORD00009,2025-01-01,2025,Q1,1,Janeiro,Cliente_171,Vitor Gabriel Fernandes,Ferreira Gomes,AP,Norte,P0007,Película para iPhone 14Pro Anti impacto,Acessórios Mobile,3,51.8,0.0893,13.89,141.51,Baixo Valor,2025-01-06,2025-01-06,0,False
ORD00010,2025-01-01,2025,Q1,1,Janeiro,Cliente_180,Vicente Jesus,Niterói,RJ,Sudeste,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,4,949.0,0.0334,126.8,3669.2,Médio Valor,2025-01-05,2025-01-03,-2,False
