id_venda,data_venda,id_cliente,nome_cliente,cidade,estado,regiao,id_produto,produto,categoria,quantidade,preco_unitario,desconto,previsao_entrega,data_entrega
ORD00001,2025-01-01,Cliente_008,Thales Pereira,Cascavel,PR,Sul,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,1.0,124.91,0.0327,2025-01-07,2025-01-09
ORD00002,2025-01-01,Cliente_011,Julia Ribeiro,Santa Maria,RS,Sul,P0006,Fone de ouvido Sem Fio QCY T27,Áudio,4.0,129.86,0.0477,2025-01-04,2025-01-08
ORD00003,2025-01-01,Cliente_019,Gabriela da Paz,Uberlândia,MG,Sudeste,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,2.0,1799.01,0.1481,2025-01-05,2025-01-04
ORD00004,2025-01-01,Cliente_019,Gabriela da Paz,Uberlândia,MG,Sudeste,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4.0,53.9,0.1402,2025-01-04,2025-01-04
ORD00005,2025-01-01,Cliente_022,Lívia Gomes,Vitória,ES,Sudeste,P0024,Memória Kingston Fury 16GB DDR5,Informática,2.0,389.9,0.1126,2025-01-03,2025-01-02
ORD00006,2025-01-01,Cliente_050,Enzo Monteiro,Curitiba,PR,Sul,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,3.0,17.9,0.1159,2025-01-04,2025-01-03
ORD00007,2025-01-01,Cliente_087,Dr. Pietro Silva,Pico,PI,Nordeste,P0017,ACER Notebook Gamer Nitro,Informática,1.0,4604.0,0.0987,2025-01-06,2025-01-07
ORD00008,2025-01-01,Cliente_113,Sra. Camila Peixoto,Marabá,PA,Norte,P0002,Samsung Galaxy Tab S6 Lite,Smartphones e Tablets,3.0,1799.01,0.1126,2025-01-07,2025-01-07
ORD00009,2025-01-01,Cliente_171,Vitor Gabriel Fernandes,Ferreira Gomes,AP,Norte,P0007,Película para iPhone 14Pro Anti impacto,Acessórios Mobile,3.0,51.8,0.0893,2025-01-06,2025-01-06
ORD00010,2025-01-01,Cliente_180,Vicente Jesus,Niterói,RJ,Sudeste,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,4.0,949.0,0.0334,2025-01-05,2025-01-03
ORD00011,2025-01-01,Cliente_215,Olivia Souza,Camaçari,BA,Nordeste,P0019,Mouse Redragon Wireless,Informática,2.0,165.99,0.1257,2025-01-06,2025-01-11
ORD00012,2025-01-01,Cliente_218,Isabel Pereira,Vila Velha,ES,Sudeste,P0020,Teclado Mecanico Fizz,Informática,3.0,174.9,0.1191,2025-01-05,2025-01-03
ORD00013,2025-01-01,Cliente_230,Maria Nogueira,Bayeux,PB,Nordeste,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,3.0,53.9,0.1391,2025-01-05,2025-01-05
ORD00014,2025-01-01,Cliente_300,Dra. Maria Sophia Nogueira,Chapecó,SC,Sul,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,2.0,124.91,0.0209,2025-01-05,2025-01-03
ORD00015,2025-01-01,Cliente_314,Nina Ramos,Laranjal do Jari,AP,Norte,P0008,Película de Vidro 3D Galaxy A30s,Acessórios Mobile,3.0,17.9,0.103,2025-01-05,2025-01-05
ORD00016,2025-01-01,Cliente_314,Nina Ramos,Laranjal do Jari,AP,Norte,P0015,Fone de Ouvido Profissional AKG K92,Áudio,4.0,428.99,0.2543,2025-01-09,2025-01-09
ORD00017,2025-01-01,Cliente_326,Emanuella Porto,Ferreira Gomes,AP,Norte,P0018,"Monitor UHD Samsung 32""",Informática,2.0,1626.57,0.0514,2025-01-08,2025-01-07
ORD00018,2025-01-01,Cliente_331,Guilherme Cavalcanti,Juiz de Fora,MG,Sudeste,P0027,Caixa de Som Bluetooth JBL,Áudio,3.0,549.9,0.0557,2025-01-06,2025-01-04
ORD00019,2025-01-01,Cliente_356,Matheus Ribeiro,Londrina,PR,Sul,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4.0,53.9,0.1434,2025-01-07,2025-01-07
ORD00020,2025-01-01,Cliente_356,Matheus Ribeiro,Londrina,PR,Sul,P0009,Smart TV 32” Philco LED Roku TV,TV e Projeção,3.0,949.0,0.0236,2025-01-05,2025-01-04
ORD00021,2025-01-01,Cliente_360,Mariane Campos,Teresina,PI,Nordeste,P0010,"Smart TV LED 32""Samsung LED Tizen TV",TV e Projeção,2.0,1079.0,0.1019,2025-01-06,2025-01-05
ORD00022,2025-01-01,Cliente_365,Diogo Nascimento,Vila Velha,ES,Sudeste,P0005,"Fone de Ouvido Sem Fio TWS, PHILIPS",Áudio,4.0,124.91,0.0395,2025-01-06,2025-01-04
ORD00023,2025-01-01,Cliente_371,Ana Luiza Nunes,Joinville,SC,Sul,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3.0,1072.0,0.0863,2025-01-06,2025-01-08
ORD00024,2025-01-01,Cliente_411,Stephany Almeida,Santo André,SP,Sudeste,P0011,"Soundbar Samsung com 2.1 canais, Dolby Digital",Áudio,3.0,1072.0,0.1155,2025-01-07,2025-01-04
ORD00025,2025-01-01,Cliente_430,Guilherme Silveira Gomes,Caxias do Sul,RS,Sul,P0004,Carregador Turbo Tipo-C 50w,Acessórios Mobile,4.0,53.9,0.0696,2025-01-07,2025-01-06
ORD00026,2025-01-01,cliente_471,Luiza Dias,Porto Alegre,RS,Sul,P0020,Teclado Mecanico Fizz,Informática,,174.9,0.1092,2025-01-08,2025-01-08
ORD00027,2025-01-01,Cliente_484,Rafael Novaes Nogueira,Santa Maria,RS,Sul,P0016,Fone de Ouvido Profissional EDIFIER WH950NB,Áudio,1.0,,0.0186,2025-01-04,2025-01-03
ORD00028,2025-01-01,Cliente_528,Thiago Mata Mendes,Niterói,RJ,Sudeste,P0025,Webcam Logitech Full HD,Informática,2.0,329.9,0.0744,2025-01-04,2025-01-03
